problemRating,contestID,problemID,url
2202,634,D,http://codeforces.com/contest/634/problem/D
2204,253,D,http://codeforces.com/contest/253/problem/D
2204,557,D,http://codeforces.com/contest/557/problem/D
2205,454,D,http://codeforces.com/contest/454/problem/D
2205,555,C,http://codeforces.com/contest/555/problem/C
2207,657,B,http://codeforces.com/contest/657/problem/B
2208,366,D,http://codeforces.com/contest/366/problem/D
2211,551,C,http://codeforces.com/contest/551/problem/C
2211,259,D,http://codeforces.com/contest/259/problem/D
2212,591,D,http://codeforces.com/contest/591/problem/D
2212,425,B,http://codeforces.com/contest/425/problem/B
2212,406,D,http://codeforces.com/contest/406/problem/D
2214,274,D,http://codeforces.com/contest/274/problem/D
2214,510,D,http://codeforces.com/contest/510/problem/D
2216,308,A,http://codeforces.com/contest/308/problem/A
2216,370,D,http://codeforces.com/contest/370/problem/D
2216,592,D,http://codeforces.com/contest/592/problem/D
2217,477,C,http://codeforces.com/contest/477/problem/C
2218,309,B,http://codeforces.com/contest/309/problem/B
2219,424,D,http://codeforces.com/contest/424/problem/D
2220,456,D,http://codeforces.com/contest/456/problem/D
2221,453,C,http://codeforces.com/contest/453/problem/C
2221,466,D,http://codeforces.com/contest/466/problem/D
2224,486,D,http://codeforces.com/contest/486/problem/D
2224,527,D,http://codeforces.com/contest/527/problem/D
2226,526,D,http://codeforces.com/contest/526/problem/D
2226,316,G2,http://codeforces.com/contest/316/problem/G2
2227,496,D,http://codeforces.com/contest/496/problem/D
2230,590,C,http://codeforces.com/contest/590/problem/C
2232,556,D,http://codeforces.com/contest/556/problem/D
2233,316,D1,http://codeforces.com/contest/316/problem/D1
2234,649,E,http://codeforces.com/contest/649/problem/E
2235,538,F,http://codeforces.com/contest/538/problem/F
2236,515,D,http://codeforces.com/contest/515/problem/D
2237,373,D,http://codeforces.com/contest/373/problem/D
2237,371,E,http://codeforces.com/contest/371/problem/E
2239,444,B,http://codeforces.com/contest/444/problem/B
2239,627,C,http://codeforces.com/contest/627/problem/C
2241,441,D,http://codeforces.com/contest/441/problem/D
2242,406,C,http://codeforces.com/contest/406/problem/C
2242,377,C,http://codeforces.com/contest/377/problem/C
2245,489,F,http://codeforces.com/contest/489/problem/F
2245,535,D,http://codeforces.com/contest/535/problem/D
2245,252,D,http://codeforces.com/contest/252/problem/D
2246,516,C,http://codeforces.com/contest/516/problem/C
2249,338,C,http://codeforces.com/contest/338/problem/C
2251,501,D,http://codeforces.com/contest/501/problem/D
2251,273,C,http://codeforces.com/contest/273/problem/C
2251,610,D,http://codeforces.com/contest/610/problem/D
2253,659,F,http://codeforces.com/contest/659/problem/F
2254,547,C,http://codeforces.com/contest/547/problem/C
2255,588,E,http://codeforces.com/contest/588/problem/E
2255,308,C,http://codeforces.com/contest/308/problem/C
2255,277,B,http://codeforces.com/contest/277/problem/B
2256,382,D,http://codeforces.com/contest/382/problem/D
2256,425,C,http://codeforces.com/contest/425/problem/C
2258,601,C,http://codeforces.com/contest/601/problem/C
2258,529,D,http://codeforces.com/contest/529/problem/D
2259,383,D,http://codeforces.com/contest/383/problem/D
2260,618,D,http://codeforces.com/contest/618/problem/D
2261,602,D,http://codeforces.com/contest/602/problem/D
2263,667,D,http://codeforces.com/contest/667/problem/D
2265,462,D,http://codeforces.com/contest/462/problem/D
2266,315,D,http://codeforces.com/contest/315/problem/D
2270,429,D,http://codeforces.com/contest/429/problem/D
2270,276,E,http://codeforces.com/contest/276/problem/E
2271,337,D,http://codeforces.com/contest/337/problem/D
2273,579,E,http://codeforces.com/contest/579/problem/E
2273,554,D,http://codeforces.com/contest/554/problem/D
2276,350,E,http://codeforces.com/contest/350/problem/E
2278,425,D,http://codeforces.com/contest/425/problem/D
2279,346,C,http://codeforces.com/contest/346/problem/C
2280,549,B,http://codeforces.com/contest/549/problem/B
2280,585,D,http://codeforces.com/contest/585/problem/D
2282,486,E,http://codeforces.com/contest/486/problem/E
2282,282,E,http://codeforces.com/contest/282/problem/E
2284,417,D,http://codeforces.com/contest/417/problem/D
2284,550,E,http://codeforces.com/contest/550/problem/E
2286,465,D,http://codeforces.com/contest/465/problem/D
2287,368,E,http://codeforces.com/contest/368/problem/E
2288,299,E,http://codeforces.com/contest/299/problem/E
2289,260,D,http://codeforces.com/contest/260/problem/D
2293,340,E,http://codeforces.com/contest/340/problem/E
2293,317,D,http://codeforces.com/contest/317/problem/D
2295,316,C2,http://codeforces.com/contest/316/problem/C2
2296,400,E,http://codeforces.com/contest/400/problem/E
2296,450,D,http://codeforces.com/contest/450/problem/D
2299,414,D,http://codeforces.com/contest/414/problem/D
2299,438,D,http://codeforces.com/contest/438/problem/D
2299,540,E,http://codeforces.com/contest/540/problem/E
2299,509,D,http://codeforces.com/contest/509/problem/D
2300,389,D,http://codeforces.com/contest/389/problem/D
2300,300,E,http://codeforces.com/contest/300/problem/E
